sample_index,is_warmup,device_id,channel,note,velocity,native_t0_ns,rust_t1_ns,rust_t2_ns,flutter_t3_ns,native_to_rust_entry_ns,rust_processing_ns,rust_exit_to_flutter_ns,total_ns,engine_event_count
1,true,0,9,43,9,144199806996900,144199807356700,144199807358900,144199807361100,359800,2200,2200,364200,1
2,true,0,9,38,4,144205230168900,144205230546700,144205230548800,144205230551100,377800,2100,2300,382200,1
3,true,0,9,38,5,144205511065400,144205511219200,144205511221300,144205511224100,153800,2100,2800,158700,1
4,true,0,9,40,11,144205756090300,144205756271800,144205756274200,144205756277100,181500,2400,2900,186800,1
5,true,0,9,38,47,144208384172000,144208384299300,144208384301600,144208384304100,127300,2300,2500,132100,1
6,true,0,9,38,41,144208673419100,144208673558400,144208673561000,144208673563100,139300,2600,2100,144000,1
7,true,0,9,38,36,144208959916800,144208960087000,144208960089500,144208960093100,170200,2500,3600,176300,1
8,true,0,9,38,33,144209258272700,144209259618600,144209259621100,144209259624100,1345900,2500,3000,1351400,1
9,true,0,9,38,27,144209489141100,144209489282900,144209489285100,144209489287100,141800,2200,2000,146000,1
10,true,0,9,38,27,144209773127100,144209773286100,144209773289000,144209773292100,159000,2900,3100,165000,1
11,false,0,9,38,19,144210062685600,144210062823900,144210062826000,144210062828100,138300,2100,2100,142500,1
12,false,0,9,38,36,144210311920400,144210312058400,144210312060500,144210312063100,138000,2100,2600,142700,1
13,false,0,9,38,32,144210600549800,144210600725900,144210600727900,144210600730100,176100,2000,2200,180300,1
14,false,0,9,38,27,144210889589700,144210889733400,144210889735500,144210889738100,143700,2100,2600,148400,1
15,false,0,9,38,28,144211138169700,144211138302800,144211138304700,144211138307100,133100,1900,2400,137400,1
16,false,0,9,38,36,144211437914200,144211438058000,144211438061100,144211438063100,143800,3100,2000,148900,1
17,false,0,9,38,37,144211739099200,144211739257400,144211739259700,144211739262100,158200,2300,2400,162900,1
18,false,0,9,38,28,144211986875000,144211987049100,144211987051400,144211987055100,174100,2300,3700,180100,1
19,false,0,9,40,21,144212248490300,144212248717100,144212248719700,144212248723100,226800,2600,3400,232800,1
20,false,0,9,38,35,144212515956100,144212516911800,144212516914700,144212516917100,955700,2900,2400,961000,1
21,false,0,9,38,34,144212760511700,144212760642900,144212760645000,144212760648100,131200,2100,3100,136400,1
22,false,0,9,38,27,144213028001500,144213028451200,144213028453500,144213028456100,449700,2300,2600,454600,1
23,false,0,9,38,34,144213239646000,144213239856900,144213239859400,144213239862100,210900,2500,2700,216100,1
24,false,0,9,38,27,144213494585600,144213495085500,144213495088300,144213495092100,499900,2800,3800,506500,1
25,false,0,9,38,29,144213697217300,144213697352200,144213697354400,144213697357100,134900,2200,2700,139800,1
26,false,0,9,38,23,144213944332700,144213944465100,144213944467200,144213944470100,132400,2100,2900,137400,1
27,false,0,9,38,35,144214142830300,144214143339800,144214143342000,144214143344100,509500,2200,2100,513800,1
28,false,0,9,38,29,144214367432000,144214367564000,144214367566000,144214367569100,132000,2000,3100,137100,1
29,false,0,9,40,25,144214605453900,144214606737600,144214606739800,144214606743100,1283700,2200,3300,1289200,1
30,false,0,9,38,27,144214823397600,144214823556100,144214823558300,144214823561100,158500,2200,2800,163500,1
31,false,0,9,48,74,144215080120200,144215080308500,144215080310700,144215080313100,188300,2200,2400,192900,1
32,false,0,9,48,51,144215361242000,144215361408800,144215361411000,144215361413100,166800,2200,2100,171100,1
33,false,0,9,48,52,144215515325100,144215515474200,144215515476500,144215515479100,149100,2300,2600,154000,1
34,false,0,9,45,64,144215799333700,144215799460700,144215799462800,144215799465100,127000,2100,2300,131400,1
