sample_index,is_warmup,device_id,channel,note,velocity,native_t0_ns,rust_t1_ns,rust_t2_ns,flutter_t3_ns,native_to_rust_entry_ns,rust_processing_ns,rust_exit_to_flutter_ns,total_ns,engine_event_count
1,true,4,9,36,14,141460097267546,141460100921452,141460100982077,141460101015844,3653906,60625,33767,3748298,1
2,true,4,9,36,44,141460318178327,141460320492338,141460320508588,141460320538844,2314011,16250,30256,2360517,1
3,true,4,9,36,9,141460390599056,141460393137963,141460393159213,141460393201844,2538907,21250,42631,2602788,1
4,true,4,9,36,26,141460917419890,141460919361035,141460919380358,141460919413844,1941145,19323,33486,1993954,1
5,true,4,9,36,41,141461131421869,141461133486035,141461133504733,141461133533844,2064166,18698,29111,2111975,1
6,true,4,9,36,11,141461299700462,141461300333223,141461300338119,141461300350844,632761,4896,12725,650382,1
7,true,4,9,36,6,141461456237389,141461456775254,141461456779525,141461456798844,537865,4271,19319,561455,1
8,true,4,9,46,23,141461498671243,141461499092910,141461499096608,141461499108844,421667,3698,12236,437601,1
9,true,4,9,44,57,141461503725462,141461503948014,141461503950150,141461503959844,222552,2136,9694,234382,1
10,true,4,9,36,26,141461793115410,141461793686400,141461793691816,141461793704844,570990,5416,13028,589434,1
11,false,4,9,38,17,141461836910358,141461837734212,141461837740670,141461837815844,823854,6458,75174,905486,1
12,false,4,9,36,11,141461921739004,141461922411608,141461922418639,141461922432844,672604,7031,14205,693840,1
13,false,4,9,38,71,141462137620827,141462138389993,141462138398274,141462138412844,769166,8281,14570,792017,1
14,false,4,9,38,56,141462349066556,141462349925722,141462349933274,141462349948844,859166,7552,15570,882288,1
15,false,4,9,38,53,141462409860618,141462410569056,141462410577337,141462410592844,708438,8281,15507,732226,1
16,false,4,9,38,50,141462594671243,141462595253639,141462595258795,141462595271844,582396,5156,13049,600601,1
17,false,4,9,38,64,141462723674681,141462724876556,141462724881764,141462724904844,1201875,5208,23080,1230163,1
18,false,4,9,48,59,141463058674264,141463059613743,141463059619628,141463059633844,939479,5885,14216,959580,1
19,false,4,9,48,61,141463191141034,141463192134159,141463192142649,141463192158844,993125,8490,16195,1017810,1
20,false,4,9,36,37,141463294714212,141463296518482,141463296527962,141463296544844,1804270,9480,16882,1830632,1
21,false,4,9,48,64,141463320438326,141463324670930,141463324683847,141463324709844,4232604,12917,25997,4271518,1
22,false,4,9,45,70,141463534426243,141463537239055,141463537247076,141463537263844,2812812,8021,16768,2837601,1
23,false,4,9,46,14,141463551877753,141463554077232,141463554082284,141463554095844,2199479,5052,13560,2218091,1
24,false,4,9,44,35,141463565892389,141463569589993,141463569597389,141463569611844,3697604,7396,14455,3719455,1
25,false,4,9,45,73,141463661098691,141463663539472,141463663547545,141463663563844,2440781,8073,16299,2465153,1
26,false,4,9,36,33,141463682916399,141463699683066,141463699690149,141463699704844,16766667,7083,14695,16788445,1
27,false,4,9,40,60,141463805861972,141463808387753,141463808395305,141463808410844,2525781,7552,15539,2548872,1
28,false,4,9,36,33,141463918670201,141463921189888,141463921199628,141463921262844,2519687,9740,63216,2592643,1
29,false,4,9,58,60,141464002503847,141464005159368,141464005169003,141464005186844,2655521,9635,17841,2682997,1
30,false,4,9,36,34,141464116537388,141464118781867,141464118794367,141464118815844,2244479,12500,21477,2278456,1
31,false,4,9,43,78,141464141398638,141464142001711,141464142007909,141464142021844,603073,6198,13935,623206,1
32,false,4,9,38,55,141464287826659,141464290714524,141464290725305,141464290744844,2887865,10781,19539,2918185,1
33,false,4,9,46,18,141464391617701,141464393513013,141464393532492,141464393583844,1895312,19479,51352,1966143,1
34,false,4,9,44,42,141464398003847,141464428946555,141464428959940,141464428985844,30942708,13385,25904,30981997,1
35,false,4,9,48,64,141464556841451,141464558725409,141464558742284,141464558772844,1883958,16875,30560,1931393,1
36,false,4,9,48,64,141464672979367,141464674404159,141464674424003,141464674487844,1424792,19844,63841,1508477,1
37,false,4,9,38,52,141464808940617,141464810876867,141464810894576,141464810965844,1936250,17709,71268,2025227,1
38,false,4,9,46,13,141464826224940,141464827507753,141464827519888,141464827545844,1282813,12135,25956,1320904,1
39,false,4,9,44,35,141464837870721,141464851991398,141464851998326,141464852050844,14120677,6928,52518,14180123,1
40,false,4,9,36,34,141465023164367,141465025922700,141465025942596,141465025979844,2758333,19896,37248,2815477,1
41,false,4,9,45,62,141465033622648,141465058755825,141465058764836,141465058783844,25133177,9011,19008,25161196,1
42,false,4,9,45,65,141465157809315,141465160525773,141465160535721,141465160554844,2716458,9948,19123,2745529,1
43,false,4,9,46,15,141465195574263,141465196330773,141465196336659,141465196350844,756510,5886,14185,776581,1
44,false,4,9,44,35,141465206917700,141465207650200,141465207656346,141465207670844,732500,6146,14498,753144,1
45,false,4,9,38,56,141465285954992,141465287083742,141465287094055,141465287112844,1128750,10313,18789,1157852,1
46,false,4,9,36,33,141465287223950,141465287731815,141465287737023,141465287752844,507865,5208,15821,528894,1
47,false,4,9,36,34,141465533138377,141465536645148,141465536654315,141465536673844,3506771,9167,19529,3535467,1
48,false,4,9,43,66,141465554366971,141465564393898,141465564401867,141465564418844,10026927,7969,16977,10051873,1
49,false,4,9,43,72,141465673320356,141465674649002,141465674660981,141465674681844,1328646,11979,20863,1361488,1
50,false,4,9,46,15,141465762745929,141465764065304,141465764076554,141465764097844,1319375,11250,21290,1351915,1
51,false,4,9,44,38,141465769837648,141465772224784,141465772230877,141465772248844,2387136,6093,17967,2411196,1
52,false,4,9,38,58,141465827291971,141465828469315,141465828479627,141465828498844,1177344,10312,19217,1206873,1
53,false,4,9,36,18,141465907350773,141465916600981,141465916610877,141465916630844,9250208,9896,19967,9280071,1
54,false,4,9,48,69,141466086023377,141466087864888,141466087883221,141466087916844,1841511,18333,33623,1893467,1
55,false,4,9,46,9,141466137545721,141466139103169,141466139111554,141466139126844,1557448,8385,15290,1581123,1
56,false,4,9,48,52,141466215797596,141466218600408,141466218610981,141466218650844,2802812,10573,39863,2853248,1
57,false,4,9,36,31,141466222156033,141466222842388,141466222847075,141466222862844,686355,4687,15769,706811,1
58,false,4,9,38,62,141466347723690,141466350176502,141466350184887,141466350203844,2452812,8385,18957,2480154,1
59,false,4,9,36,37,141466460767752,141466461918273,141466461926450,141466461945844,1150521,8177,19394,1178092,1
60,false,4,9,45,63,141466586467492,141466587757335,141466587769679,141466587793844,1289843,12344,24165,1326352,1
61,false,4,9,46,10,141466646025096,141466647778429,141466647786346,141466647840844,1753333,7917,54498,1815748,1
62,false,4,9,45,63,141466710671137,141466712101137,141466712173429,141466712203844,1430000,72292,30415,1532707,1
63,false,4,9,36,27,141466755008637,141466757673429,141466757683169,141466757702844,2664792,9740,19675,2694207,1
64,false,4,9,38,64,141466864255252,141466866965304,141466866986137,141466867022844,2710052,20833,36707,2767592,1
65,false,4,9,36,31,141467032650200,141467034614887,141467034632908,141467034670844,1964687,18021,37936,2020644,1
66,false,4,9,43,67,141467132132127,141467133923533,141467133941189,141467133973844,1791406,17656,32655,1841717,1
67,false,4,9,43,65,141467253562283,141467255947700,141467255966710,141467256003844,2385417,19010,37134,2441561,1
68,false,4,9,36,29,141467320717804,141467323182335,141467323191918,141467323210844,2464531,9583,18926,2493040,1
69,false,4,9,38,60,141467412546450,141467414498429,141467414521241,141467414558844,1951979,22812,37603,2012394,1
70,false,4,9,38,34,141467460238637,141467467481814,141467467499939,141467467531844,7243177,18125,31905,7293207,1
71,false,4,9,36,29,141467607268168,141467609422960,141467609442074,141467609474844,2154792,19114,32770,2206676,1
72,false,4,9,48,88,141467682248845,141467684279679,141467684298324,141467684332844,2030834,18645,34520,2083999,1
73,false,4,9,46,9,141467753005564,141467754583116,141467754592699,141467754612844,1577552,9583,20145,1607280,1
74,false,4,9,48,57,141467805422647,141467808179106,141467808187960,141467808207844,2756459,8854,19884,2785197,1
75,false,4,9,36,29,141467912623481,141467914880460,141467914899626,141467914940844,2256979,19166,41218,2317363,1
76,false,4,9,38,61,141467958945981,141467963195043,141467963210616,141467963237844,4249062,15573,27228,4291863,1
77,false,4,9,46,9,141468035455512,141468037360043,141468037379314,141468037410844,1904531,19271,31530,1955332,1
78,false,4,9,45,65,141468180869731,141468183345043,141468183364001,141468183405844,2475312,18958,41843,2536113,1
79,false,4,9,36,31,141468182242283,141468184948220,141468184956970,141468184975844,2705937,8750,18874,2733561,1
80,false,4,9,45,68,141468312790564,141468315372908,141468315457855,141468315501844,2582344,84947,43989,2711280,1
81,false,4,9,38,53,141468442322439,141468444387491,141468444404210,141468444436844,2065052,16719,32634,2114405,1
82,false,4,9,36,29,141468469524574,141468481958949,141468481969522,141468481992844,12434375,10573,23322,12468270,1
83,false,4,9,43,69,141468722482959,141468724593949,141468724616032,141468724701844,2110990,22083,85812,2218885,1
84,false,4,9,36,30,141468740604366,141468763030303,141468763046397,141468763076844,22425937,16094,30447,22472478,1
85,false,4,9,43,103,141468844225407,141468846223324,141468846243168,141468846278844,1997917,19844,35676,2053437,1
86,false,4,9,46,9,141468883706866,141468884273116,141468884278793,141468884320844,566250,5677,42051,613978,1
