sample_index,is_warmup,device_id,channel,note,velocity,native_t0_ns,rust_t1_ns,rust_t2_ns,flutter_t3_ns,native_to_rust_entry_ns,rust_processing_ns,rust_exit_to_flutter_ns,total_ns,engine_event_count
1,true,5,9,36,29,146352548619638,146352552111357,146352552133440,146352552164006,3491719,22083,30566,3544368,1
2,true,5,9,36,11,146352650871617,146352653020263,146352653041669,146352653111006,2148646,21406,69337,2239389,1
3,true,5,9,46,10,146353258406565,146353260348127,146353260360679,146353260385006,1941562,12552,24327,1978441,1
4,true,5,9,44,27,146353267437138,146353268500836,146353268517034,146353268602006,1063698,16198,84972,1164868,1
5,true,5,9,46,11,146353511870367,146353514473492,146353514494481,146353514533006,2603125,20989,38525,2662639,1
6,true,5,9,44,27,146353520682554,146353521920315,146353521929794,146353521948006,1237761,9479,18212,1265452,1
7,true,5,9,40,62,146353653850002,146353656410731,146353656432919,146353656464006,2560729,22188,31087,2614004,1
8,true,5,9,36,47,146353670429013,146353685827919,146353685842502,146353685872006,15398906,14583,29504,15442993,1
9,true,5,9,38,59,146354240768387,146354242553856,146354242567085,146354242588006,1785469,13229,20921,1819619,1
10,true,5,9,46,14,146354286788179,146354287662450,146354287667762,146354287681006,874271,5312,13244,892827,1
11,false,5,9,44,35,146354293449429,146354294260627,146354294271721,146354294290006,811198,11094,18285,840577,1
12,false,5,9,38,56,146354400819325,146354401945939,146354401953544,146354401970006,1126614,7605,16462,1150681,1
13,false,5,9,36,34,146354470723179,146354472081981,146354472116721,146354472156006,1358802,34740,39285,1432827,1
14,false,5,9,38,64,146354518709533,146354520071408,146354520086617,146354520114006,1361875,15209,27389,1404473,1
15,false,5,9,38,59,146354653275054,146354655341669,146354655360471,146354655394006,2066615,18802,33535,2118952,1
16,false,5,9,38,43,146354743845991,146354756915054,146354756933544,146354756970006,13069063,18490,36462,13124015,1
17,false,5,9,38,52,146354859380210,146354861589898,146354861609325,146354861645006,2209688,19427,35681,2264796,1
18,false,5,9,36,32,146354872918179,146354904232554,146354904243700,146354904266006,31314375,11146,22306,31347827,1
19,false,5,9,38,66,146354959409637,146354960432762,146354960442450,146354960460006,1023125,9688,17556,1050369,1
20,false,5,9,38,31,146355010414898,146355011705210,146355011720210,146355011763006,1290312,15000,42796,1348108,1
21,false,5,9,46,9,146355073202345,146355074881304,146355074898439,146355074927006,1678959,17135,28567,1724661,1
22,false,5,9,48,74,146355151658804,146355153841043,146355153858023,146355153889006,2182239,16980,30983,2230202,1
23,false,5,9,44,23,146355179690158,146355200800627,146355200808023,146355200823006,21110469,7396,14983,21132848,1
24,false,5,9,36,25,146355235680366,146355238356304,146355238366043,146355238383006,2675938,9739,16963,2702640,1
25,false,5,9,48,59,146355285858127,146355286734272,146355286743543,146355286760006,876145,9271,16463,901879,1
26,false,5,9,48,72,146355369861408,146355372794689,146355372804741,146355372823006,2933281,10052,18265,2961598,1
27,false,5,9,36,32,146355460974429,146355462914533,146355462934533,146355463018006,1940104,20000,83473,2043577,1
28,false,5,9,48,66,146355497398283,146355500912814,146355500925991,146355500951006,3514531,13177,25015,3552723,1
29,false,5,9,48,72,146355515113179,146355521575783,146355521584064,146355521619006,6462604,8281,34942,6505827,1
30,false,5,9,46,19,146355587099272,146355588987085,146355589004585,146355589035006,1887813,17500,30421,1935734,1
31,false,5,9,44,42,146355591780210,146355592961981,146355592968804,146355592987006,1181771,6823,18202,1206796,1
32,false,5,9,48,55,146355609084533,146355636642866,146355636650314,146355636666006,27558333,7448,15692,27581473,1
33,false,5,9,45,79,146355740148387,146355743025991,146355743035470,146355743054006,2877604,9479,18536,2905619,1
34,false,5,9,36,22,146355766987762,146355788610574,146355788624220,146355788649006,21622812,13646,24786,21661244,1
35,false,5,9,45,64,146355893949845,146355896159220,146355896177658,146355896275006,2209375,18438,97348,2325161,1
36,false,5,9,45,66,146355968300783,146355971174220,146355971184689,146355971202006,2873437,10469,17317,2901223,1
37,false,5,9,45,79,146356059935366,146356062230783,146356062248751,146356062280006,2295417,17968,31255,2344640,1
38,false,5,9,36,25,146356081399220,146356104409428,146356104426512,146356104452006,23010208,17084,25494,23052786,1
39,false,5,9,45,63,146356184409637,146356187289689,146356187299897,146356187318006,2880052,10208,18109,2908369,1
40,false,5,9,43,72,146356349326095,146356351984532,146356352072397,146356352110006,2658437,87865,37609,2783911,1
41,false,5,9,36,29,146356435897137,146356438104689,146356438124168,146356438161006,2207552,19479,36838,2263869,1
42,false,5,9,43,44,146356475511512,146356489192241,146356489206928,146356489252006,13680729,14687,45078,13740494,1
43,false,5,9,43,57,146356605478022,146356607727397,146356607746147,146356607778006,2249375,18750,31859,2299984,1
44,false,5,9,43,63,146356649479168,146356653192189,146356653207553,146356653237006,3713021,15364,29453,3757838,1
45,false,5,9,43,58,146356742225626,146356744547866,146356744566511,146356744602006,2322240,18645,35495,2376380,1
46,false,5,9,36,30,146356772716147,146356790660991,146356790675834,146356790718006,17944844,14843,42172,18001859,1
47,false,5,9,43,67,146356796111303,146356797089064,146356797098439,146356797116006,977761,9375,17567,1004703,1
48,false,5,9,51,13,146357130155209,146357132528959,146357132547553,146357132634006,2373750,18594,86453,2478797,1
49,false,5,9,58,57,146357130406772,146357133897241,146357133905991,146357133926006,3490469,8750,20015,3519234,1
50,false,5,9,58,23,146357317630053,146357320339949,146357320348438,146357320365006,2709896,8489,16568,2734953,1
51,false,5,9,36,25,146358378799375,146358381199792,146358381216615,146358381246006,2400417,16823,29391,2446631,1
52,false,5,9,38,57,146358439106980,146358451683178,146358451696615,146358451726006,12576198,13437,29391,12619026,1
53,false,5,9,46,17,146358500353125,146358502005834,146358502023177,146358502052006,1652709,17343,28829,1698881,1
